,Row,CASE_ID,StartTimestamp,Activity,Resource,CompleteTimestamp,StartDate
279053,279053,IM0026331,08.01.2014 09:56,Open,TEAM0008,08.01.2014 10:00,2014-08-01
279054,279054,IM0026331,08.01.2014 10:00,Reassignment,TEAM0008,08.01.2014 10:10,2014-08-01
279055,279055,IM0026331,08.01.2014 10:10,Assignment,TEAM0197,08.01.2014 10:17,2014-08-01
279056,279056,IM0026331,08.01.2014 10:17,Update,TEAM0197,08.01.2014 10:17,2014-08-01
279057,279057,IM0026331,08.01.2014 10:17,Quality Indicator Set,TEAM0197,08.01.2014 16:02,2014-08-01
279058,279058,IM0026331,08.01.2014 16:02,Assignment,TEAM0197,08.01.2014 16:18,2014-08-01
279059,279059,IM0026331,08.01.2014 16:18,Assignment,TEAM0197,09.01.2014 09:43,2014-08-01
279060,279060,IM0026331,09.01.2014 09:43,Operator Update,TEAM0197,09.01.2014 09:43,2014-09-01
279061,279061,IM0026331,09.01.2014 09:43,Update,TEAM0197,09.01.2014 09:51,2014-09-01
279062,279062,IM0026331,09.01.2014 09:51,Communication with customer,TEAM0197,09.01.2014 09:53,2014-09-01
279063,279063,IM0026331,09.01.2014 09:53,Operator Update,TEAM0197,09.01.2014 09:54,2014-09-01
279064,279064,IM0026331,09.01.2014 09:54,External Vendor Assignment,TEAM0197,09.01.2014 09:54,2014-09-01
279065,279065,IM0026331,09.01.2014 09:54,Status Change,TEAM0197,09.01.2014 09:54,2014-09-01
279066,279066,IM0026331,09.01.2014 09:54,Communication with vendor,TEAM0197,09.01.2014 10:29,2014-09-01
279067,279067,IM0026331,09.01.2014 10:29,Communication with vendor,TEAM0197,09.01.2014 10:32,2014-09-01
279068,279068,IM0026331,09.01.2014 10:32,Update,TEAM0197,09.01.2014 10:32,2014-09-01
279069,279069,IM0026331,09.01.2014 10:32,Quality Indicator Fixed,TEAM0197,09.01.2014 10:32,2014-09-01
279070,279070,IM0026331,09.01.2014 10:32,Reassignment,TEAM0197,09.01.2014 10:32,2014-09-01
279071,279071,IM0026331,09.01.2014 10:32,Assignment,TEAM0197,09.01.2014 13:35,2014-09-01
279072,279072,IM0026331,09.01.2014 13:35,Operator Update,TEAM0191,09.01.2014 13:35,2014-09-01
279073,279073,IM0026331,09.01.2014 13:35,Reassignment,TEAM0191,09.01.2014 13:35,2014-09-01
279074,279074,IM0026331,09.01.2014 13:35,Assignment,TEAM0191,09.01.2014 15:28,2014-09-01
279075,279075,IM0026331,09.01.2014 15:28,Status Change,TEAM0197,10.01.2014 10:14,2014-09-01
279076,279076,IM0026331,10.01.2014 10:14,Reassignment,TEAM0197,10.01.2014 10:14,2014-10-01
279077,279077,IM0026331,10.01.2014 10:14,Assignment,TEAM0197,10.01.2014 10:14,2014-10-01
279078,279078,IM0026331,10.01.2014 10:14,Update,TEAM0197,10.01.2014 10:21,2014-10-01
279079,279079,IM0026331,10.01.2014 10:21,Assignment,TEAM0171,10.01.2014 10:29,2014-10-01
279080,279080,IM0026331,10.01.2014 10:29,Operator Update,TEAM0171,10.01.2014 10:29,2014-10-01
279081,279081,IM0026331,10.01.2014 10:29,Reassignment,TEAM0171,10.01.2014 10:29,2014-10-01
279082,279082,IM0026331,10.01.2014 10:29,Assignment,TEAM0171,10.01.2014 10:57,2014-10-01
279083,279083,IM0026331,10.01.2014 10:57,Update,TEAM0197,10.01.2014 10:57,2014-10-01
279084,279084,IM0026331,10.01.2014 10:57,Assignment,TEAM0197,27.01.2014 16:56,2014-10-01
