,CASE_ID,StartTimestamp,Activity,Resource,CompleteTimestamp,StartDate
5291,IM0000214,15.07.2013 13:01,Open,TEAM0008,16.07.2013 04:56,15.07.2013
5292,IM0000214,16.07.2013 04:56,Reassignment,TEAM0047,16.07.2013 07:23,16.07.2013
5293,IM0000214,16.07.2013 07:23,Reassignment,TEAM0046,16.07.2013 07:23,16.07.2013
5294,IM0000214,16.07.2013 07:23,Assignment,TEAM0046,17.07.2013 07:52,16.07.2013
5295,IM0000214,17.07.2013 07:52,Communication with vendor,TEAM0062,17.07.2013 08:19,17.07.2013
5296,IM0000214,17.07.2013 08:19,Operator Update,TEAM0062,17.07.2013 08:19,17.07.2013
5297,IM0000214,17.07.2013 08:19,Reassignment,TEAM0062,17.07.2013 08:19,17.07.2013
5298,IM0000214,17.07.2013 08:19,Assignment,TEAM0062,17.07.2013 13:23,17.07.2013
5299,IM0000214,17.07.2013 13:23,Status Change,TEAM0046,17.07.2013 13:34,17.07.2013
5300,IM0000214,17.07.2013 13:34,Communication with customer,TEAM0046,23.07.2013 12:32,17.07.2013
5301,IM0000214,23.07.2013 12:32,Assignment,TEAM0031,09.08.2013 14:03,23.07.2013
5302,IM0000214,09.08.2013 14:03,Closed,TEAM0046,09.08.2013 14:03,09.08.2013
5303,IM0000214,09.08.2013 14:03,Caused By CI,TEAM0046,12.08.2013 07:26,09.08.2013
5304,IM0000214,12.08.2013 07:26,Update,TEAM9999,12.08.2013 07:26,12.08.2013
5305,IM0000214,12.08.2013 07:26,Reopen,TEAM9999,19.08.2013 13:57,12.08.2013
5306,IM0000214,19.08.2013 13:57,Operator Update,TEAM0046,19.08.2013 13:57,19.08.2013
5307,IM0000214,19.08.2013 13:57,Status Change,TEAM0046,01.10.2013 14:20,19.08.2013
5308,IM0000214,01.10.2013 14:20,Closed,TEAM0046,01.10.2013 14:30,01.10.2013
7299,IM0000279,08.08.2013 13:30,Open,TEAM9999,08.08.2013 13:57,08.08.2013
7300,IM0000279,08.08.2013 13:57,Status Change,TEAM0057,08.08.2013 13:57,08.08.2013
7301,IM0000279,08.08.2013 13:57,Operator Update,TEAM0057,08.08.2013 13:57,08.08.2013
7302,IM0000279,08.08.2013 13:57,Assignment,TEAM0057,12.08.2013 08:03,08.08.2013
7303,IM0000279,12.08.2013 08:03,Caused By CI,TEAM0057,12.08.2013 08:03,12.08.2013
7304,IM0000279,12.08.2013 08:03,Closed,TEAM0057,13.08.2013 10:25,12.08.2013
7305,IM0000279,13.08.2013 10:25,Assignment,TEAM0008,13.08.2013 10:25,13.08.2013
7306,IM0000279,13.08.2013 10:25,Update,TEAM0008,13.08.2013 10:25,13.08.2013
7307,IM0000279,13.08.2013 10:25,Reopen,TEAM0008,13.08.2013 11:26,13.08.2013
7308,IM0000279,13.08.2013 11:26,Reassignment,TEAM0057,13.08.2013 11:26,13.08.2013
7309,IM0000279,13.08.2013 11:26,Operator Update,TEAM0057,13.08.2013 12:48,13.08.2013
7310,IM0000279,13.08.2013 12:48,Operator Update,TEAM0008,13.08.2013 12:56,13.08.2013
7311,IM0000279,13.08.2013 12:56,Assignment,TEAM0008,13.08.2013 13:41,13.08.2013
7312,IM0000279,13.08.2013 13:41,Communication with customer,TEAM0008,13.08.2013 13:41,13.08.2013
7313,IM0000279,13.08.2013 13:41,Status Change,TEAM0008,13.08.2013 14:34,13.08.2013
7314,IM0000279,13.08.2013 14:34,Reassignment,TEAM0008,15.08.2013 09:39,13.08.2013
7315,IM0000279,15.08.2013 09:39,Reassignment,TEAM0008,15.08.2013 09:39,15.08.2013
7316,IM0000279,15.08.2013 09:39,Operator Update,TEAM0008,15.08.2013 09:39,15.08.2013
7317,IM0000279,15.08.2013 09:39,Status Change,TEAM0008,15.08.2013 09:39,15.08.2013
7318,IM0000279,15.08.2013 09:39,Assignment,TEAM0008,15.08.2013 11:03,15.08.2013
7319,IM0000279,15.08.2013 11:03,Operator Update,TEAM0057,15.08.2013 11:03,15.08.2013
7320,IM0000279,15.08.2013 11:03,Assignment,TEAM0057,15.08.2013 11:03,15.08.2013
7321,IM0000279,15.08.2013 11:03,Status Change,TEAM0057,15.08.2013 14:17,15.08.2013
7322,IM0000279,15.08.2013 14:17,Operator Update,TEAM0057,01.10.2013 08:06,15.08.2013
7323,IM0000279,01.10.2013 08:06,Closed,TEAM0057,01.10.2013 08:16,01.10.2013
8093,IM0000304,19.08.2013 16:21,Open,TEAM9999,19.08.2013 17:59,19.08.2013
8094,IM0000304,19.08.2013 17:59,Reassignment,TEAM0069,19.08.2013 17:59,19.08.2013
8095,IM0000304,19.08.2013 17:59,Operator Update,TEAM0069,19.08.2013 17:59,19.08.2013
8096,IM0000304,19.08.2013 17:59,Assignment,TEAM0069,19.08.2013 17:59,19.08.2013
8097,IM0000304,19.08.2013 17:59,Status Change,TEAM0069,19.08.2013 17:59,19.08.2013
8098,IM0000304,19.08.2013 17:59,Operator Update,TEAM0069,19.08.2013 17:59,19.08.2013
8099,IM0000304,19.08.2013 17:59,External Vendor Assignment,TEAM0069,19.08.2013 17:59,19.08.2013
8100,IM0000304,19.08.2013 17:59,Status Change,TEAM0069,23.08.2013 08:42,19.08.2013
8101,IM0000304,23.08.2013 08:42,Update,TEAM0081,23.08.2013 08:43,23.08.2013
8102,IM0000304,23.08.2013 08:43,Reassignment,TEAM0081,23.08.2013 08:43,23.08.2013
8103,IM0000304,23.08.2013 08:43,Assignment,TEAM0081,26.08.2013 15:27,23.08.2013
8104,IM0000304,26.08.2013 15:27,Assignment,TEAM0069,26.08.2013 15:53,26.08.2013
8105,IM0000304,26.08.2013 15:53,Status Change,TEAM0069,27.08.2013 10:51,26.08.2013
8106,IM0000304,27.08.2013 10:51,Operator Update,TEAM0069,28.08.2013 15:07,27.08.2013
8107,IM0000304,28.08.2013 15:07,Operator Update,TEAM0069,02.09.2013 09:06,28.08.2013
8108,IM0000304,02.09.2013 09:06,Operator Update,TEAM0069,02.09.2013 10:23,02.09.2013
8109,IM0000304,02.09.2013 10:23,Operator Update,TEAM0069,04.09.2013 09:13,02.09.2013
8110,IM0000304,04.09.2013 09:13,Operator Update,TEAM0069,06.09.2013 09:02,04.09.2013
