,CASE_ID,StartTimestamp,Activity,Resource,CompleteTimestamp,StartDate
0,IM0000004,07.01.2013 08:17,Reassignment,TEAM0001,25.09.2013 08:27,07.01.2013
1,IM0000004,25.09.2013 08:27,Operator Update,TEAM0003,04.11.2013 12:09,25.09.2013
2,IM0000004,04.11.2013 12:09,Operator Update,TEAM0003,04.11.2013 12:09,04.11.2013
3,IM0000004,04.11.2013 12:09,Assignment,TEAM0003,04.11.2013 12:09,04.11.2013
4,IM0000004,04.11.2013 12:09,Reassignment,TEAM0003,04.11.2013 13:41,04.11.2013
5,IM0000004,04.11.2013 13:41,Reassignment,TEAM0002,04.11.2013 13:41,04.11.2013
6,IM0000004,04.11.2013 13:41,Update from customer,TEAM0002,04.11.2013 13:41,04.11.2013
7,IM0000004,04.11.2013 13:41,Assignment,TEAM0002,04.11.2013 13:51,04.11.2013
8,IM0000004,04.11.2013 13:51,Closed,TEAM0003,04.11.2013 13:51,04.11.2013
9,IM0000004,04.11.2013 13:51,Caused By CI,TEAM0003,04.11.2013 14:01,04.11.2013
10,IM0000005,07.01.2013 08:17,Reassignment,TEAM0001,27.03.2013 08:57,07.01.2013
11,IM0000005,27.03.2013 08:57,Operator Update,TEAM0003,27.03.2013 08:57,27.03.2013
12,IM0000005,27.03.2013 08:57,Description Update,TEAM0003,03.04.2013 11:29,27.03.2013
13,IM0000005,03.04.2013 11:29,Reassignment,TEAM0003,03.04.2013 11:29,03.04.2013
14,IM0000005,03.04.2013 11:29,Operator Update,TEAM0003,03.04.2013 11:29,03.04.2013
15,IM0000005,03.04.2013 11:29,Assignment,TEAM0003,12.04.2013 11:03,03.04.2013
16,IM0000005,12.04.2013 11:03,Operator Update,TEAM0003,12.04.2013 11:03,12.04.2013
17,IM0000005,12.04.2013 11:03,Status Change,TEAM0003,16.04.2013 14:19,12.04.2013
18,IM0000005,16.04.2013 14:19,Status Change,TEAM9999,16.04.2013 14:19,16.04.2013
19,IM0000005,16.04.2013 14:19,Assignment,TEAM9999,23.04.2013 08:22,16.04.2013
20,IM0000005,23.04.2013 08:22,Status Change,TEAM0003,24.05.2013 08:42,23.04.2013
21,IM0000005,24.05.2013 08:42,Reassignment,TEAM9999,24.05.2013 08:42,24.05.2013
22,IM0000005,24.05.2013 08:42,Analysis/Research,TEAM9999,24.05.2013 08:42,24.05.2013
23,IM0000005,24.05.2013 08:42,Assignment,TEAM9999,03.06.2013 11:14,24.05.2013
24,IM0000005,03.06.2013 11:14,Assignment,TEAM9999,03.06.2013 11:15,03.06.2013
25,IM0000005,03.06.2013 11:15,Update,TEAM9999,03.06.2013 11:15,03.06.2013
26,IM0000005,03.06.2013 11:15,Assignment,TEAM9999,05.09.2013 08:58,03.06.2013
27,IM0000005,05.09.2013 08:58,Operator Update,TEAM0003,02.12.2013 11:48,05.09.2013
28,IM0000005,02.12.2013 11:48,Reassignment,TEAM0003,02.12.2013 11:48,02.12.2013
29,IM0000005,02.12.2013 11:48,Assignment,TEAM0003,02.12.2013 11:48,02.12.2013
30,IM0000005,02.12.2013 11:48,Operator Update,TEAM0003,02.12.2013 12:00,02.12.2013
31,IM0000005,02.12.2013 12:00,Update from customer,TEAM0002,02.12.2013 12:32,02.12.2013
32,IM0000005,02.12.2013 12:32,Reassignment,TEAM0002,02.12.2013 12:32,02.12.2013
33,IM0000005,02.12.2013 12:32,Assignment,TEAM0002,02.12.2013 12:32,02.12.2013
34,IM0000005,02.12.2013 12:32,Update from customer,TEAM0002,02.12.2013 12:32,02.12.2013
35,IM0000005,02.12.2013 12:32,Status Change,TEAM0002,02.12.2013 12:36,02.12.2013
36,IM0000005,02.12.2013 12:36,Caused By CI,TEAM0003,02.12.2013 12:36,02.12.2013
37,IM0000005,02.12.2013 12:36,Closed,TEAM0003,02.12.2013 12:46,02.12.2013
38,IM0000006,13.01.2014 15:13,Closed,TEAM0170,13.01.2014 15:13,13.01.2014
39,IM0000006,13.01.2014 15:13,Caused By CI,TEAM0170,13.01.2014 15:23,13.01.2014
40,IM0000011,07.01.2013 08:19,Reassignment,TEAM0001,27.03.2013 09:06,07.01.2013
41,IM0000011,27.03.2013 09:06,Assignment,TEAM0003,27.03.2013 09:06,27.03.2013
42,IM0000011,27.03.2013 09:06,Reassignment,TEAM0003,27.03.2013 09:06,27.03.2013
43,IM0000011,27.03.2013 09:06,Operator Update,TEAM0003,27.03.2013 09:39,27.03.2013
44,IM0000011,27.03.2013 09:39,Update from customer,TEAM0002,27.03.2013 11:05,27.03.2013
45,IM0000011,27.03.2013 11:05,Assignment,TEAM0002,27.03.2013 11:05,27.03.2013
46,IM0000011,27.03.2013 11:05,Update from customer,TEAM0002,27.03.2013 11:05,27.03.2013
47,IM0000011,27.03.2013 11:05,Reassignment,TEAM0002,27.03.2013 11:28,27.03.2013
48,IM0000011,27.03.2013 11:28,Assignment,TEAM0003,30.05.2013 13:11,27.03.2013
49,IM0000011,30.05.2013 13:11,Update from customer,TEAM0002,11.06.2013 06:54,30.05.2013
50,IM0000011,11.06.2013 06:54,Assignment,TEAM0003,11.06.2013 06:54,11.06.2013
51,IM0000011,11.06.2013 06:54,Operator Update,TEAM0003,11.06.2013 06:54,11.06.2013
52,IM0000011,11.06.2013 06:54,Reassignment,TEAM0003,11.06.2013 07:03,11.06.2013
53,IM0000011,11.06.2013 07:03,Update from customer,TEAM0002,05.11.2013 16:55,11.06.2013
54,IM0000011,05.11.2013 16:55,Update from customer,TEAM0002,05.11.2013 16:55,05.11.2013
55,IM0000011,05.11.2013 16:55,Assignment,TEAM0002,05.11.2013 16:55,05.11.2013
56,IM0000011,05.11.2013 16:55,Reassignment,TEAM0002,05.11.2013 16:55,05.11.2013
